sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,4,3,24,57,0,0,0,2L,2.70874,102,1.463,28691.888088092248,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,25,58,0,0,0,2L,2.697634,102,1.529,28724.606206058645,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,26,59,0,0,0,2L,2.59768,101,1.532,28657.972702394032,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,5,3,19,60,0,0,0,2L,3.210237,103,1.721,29178.801510301033,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,4,3,27,61,0,0,0,2L,2.619892,102,1.443,28869.359252457845,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,28,62,0,0,0,2L,2.608786,102,1.464,28740.107489289196,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,29,63,0,0,0,2L,2.59768,102,1.586,28848.186006028747,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,6,4,11,64,0,0,0,2L,2.533186,101,1.48,28662.415898045267,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,4,3,30,65,0,0,0,2L,2.630998,101,1.464,28627.90379420014,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,31,66,0,0,0,2L,2.619892,102,1.552,28713.033854680853,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,32,67,0,0,0,2L,2.573557,102,1.485,28766.90729473262,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,33,68,0,0,0,2L,2.59768,102,1.554,28819.04480271601,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,34,69,0,0,0,2L,2.65321,102,1.449,28743.054139894473,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,35,70,0,0,0,2L,2.642104,102,1.49,28842.27320447829,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,36,71,0,0,0,2L,2.630998,102,1.424,28834.477752151197,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,37,72,0,0,0,2L,2.563464,102,1.602,28740.577788689312,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,4,3,38,73,0,0,0,2L,2.608786,101,1.419,28629.09653458296,1,,,33.09198593229701,2D,cathodic,,
252,0,3,0,6,4,12,74,0,0,0,2L,2.619892,102,1.481,28699.48973154136,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,13,75,0,0,0,2L,2.58365,101,1.61,28613.416921469736,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,14,76,0,0,0,2L,2.65321,101,1.504,28561.23949077702,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,15,77,0,0,0,2L,2.675422,102,1.426,28688.440037555523,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,16,78,0,0,0,2L,2.593742,101,1.423,28493.6938264184,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,17,79,0,0,0,2L,2.65321,101,1.483,28575.904019926315,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,18,80,0,0,0,2L,2.675422,101,1.424,28601.369233986967,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,19,81,0,0,0,2L,2.608786,101,1.442,28617.798182739527,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,20,82,0,0,0,2L,2.608786,101,1.416,28635.558328578136,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,21,83,0,0,0,2L,2.59768,101,1.647,28662.453519858816,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,22,84,0,0,0,2L,2.58365,101,1.547,28639.934042892026,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,23,85,0,0,0,2L,2.630998,102,1.42,28685.564213481866,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,24,86,0,0,0,2L,2.630998,102,1.433,28681.65403458791,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,25,87,0,0,0,2L,2.630998,101,1.429,28594.03114415611,1,,,31.005835457986624,2D,cathodic,,
